Beer Type,Beer Type Description,Beer Style,Style Description,IBU,ABV Range,SRM,Common Malts Used
Wheat Beer,"A beer brewed with a significant proportion of wheat, known for its light body, smooth mouthfeel, and often hazy appearance.",Gose,"Gose is a historical German wheat beer brewed with coriander and salt, giving it a tart, slightly salty, and herbal character. It is light-bodied and refreshing.",5-12,4.0-5.0%,3-6,"Wheat Malt, Pilsner Malt"
Pale Ale,"A hop-forward, moderately malty beer style that varies in strength and bitterness but generally offers a balance between hops and malt.",Cream Ale,"Cream Ale is a smooth, light-bodied, and well-attenuated beer with a subtle malt sweetness and low hop bitterness. It often has a crisp, clean finish with mild corn-like sweetness.",10-22,4.2-5.6%,2-5,"Pale Malt, Corn, Six-Row Malt"
Pale Ale,"A hop-forward, moderately malty beer style that varies in strength and bitterness but generally offers a balance between hops and malt.",Kölsch,"Kölsch is a light, crisp, and slightly fruity ale with a clean lager-like finish. It has a delicate balance of soft malt sweetness and mild hop bitterness.",18-30,4.4-5.2%,3-5,"Pilsner Malt, Vienna Malt"
Pale Ale,"A hop-forward, moderately malty beer style that varies in strength and bitterness but generally offers a balance between hops and malt.",British Golden Ale,"British Golden Ale is a light, golden-colored ale with floral, citrusy hop character and a clean malt backbone. It is refreshing with a dry, crisp finish.",20-45,3.5-5.3%,3-6,"Maris Otter, Pale Malt, Crystal Malt"
Pale Ale,"A hop-forward, moderately malty beer style that varies in strength and bitterness but generally offers a balance between hops and malt.",Blonde Ale,"Blonde Ale is an easy-drinking, smooth, and lightly malty ale with a slightly sweet finish. Hop bitterness is low, making it highly approachable.",15-25,4.1-5.5%,3-6,"Pale Malt, Caramel Malt"
Pale Ale,"A hop-forward, moderately malty beer style that varies in strength and bitterness but generally offers a balance between hops and malt.",American Pale Ale,"American Pale Ale is a hop-forward beer with moderate malt character. It features citrus, pine, and floral hop aromas, with a crisp and balanced finish.",30-50,4.5-6.2%,5-10,"Pale Malt, Crystal Malt"
Pale Ale,"A hop-forward, moderately malty beer style that varies in strength and bitterness but generally offers a balance between hops and malt.",Belgian Pale Ale,"Belgian Pale Ale is a malty, slightly fruity beer with a mild hop presence. It has a complex yeast character with spicy and earthy notes.",20-30,4.8-5.5%,8-14,"Pale Malt, Munich Malt, Caramel Malt"
Pale Ale,"A hop-forward, moderately malty beer style that varies in strength and bitterness but generally offers a balance between hops and malt.",Belgian Blond Ale,"Belgian Blond Ale is a smooth, slightly sweet beer with subtle spicy and fruity notes from Belgian yeast. It has a golden color and a soft, balanced character.",15-30,6.0-7.5%,4-7,"Pilsner Malt, Munich Malt, Caramel Malt"
Pale Ale,"A hop-forward, moderately malty beer style that varies in strength and bitterness but generally offers a balance between hops and malt.",Saison,"Saison is a dry, highly carbonated, and slightly spicy Belgian-style ale with fruity esters. It has a rustic, complex flavor profile with earthy and citrusy notes.",20-38,5.0-7.0%,5-14,"Pilsner Malt, Vienna Malt, Wheat Malt"
Pale Ale,"A hop-forward, moderately malty beer style that varies in strength and bitterness but generally offers a balance between hops and malt.",Trappist Single,"Trappist Single is a light-bodied, golden ale brewed by Trappist monasteries. It has a crisp, dry finish with subtle spicy and floral hop notes.",25-45,4.5-5.5%,3-6,"Pilsner Malt, Munich Malt"
Amber Lager,"A well-attenuated malty lager with a caramel or toast quality and restrained bitterness.",International Amber Lager,"International Amber Lager is a balanced, medium-bodied beer with a clean, malt-forward character. It typically has caramel and toasty malt flavors, accompanied by a light hop bitterness.",18-30,4.5-6.0%,10-20,"Pale Malt, Caramel Malt"
Amber Lager,"A well-attenuated malty lager with a caramel or toast quality and restrained bitterness.",Czech Amber Lager,"Czech Amber Lager is a malt-forward beer with a balance of sweet caramel and toasted bread flavors. It features a smooth body and a slightly dry finish with mild bitterness.",18-30,4.0-5.2%,12-20,"Pilsner Malt, Caramel Malt, Munich Malt"
Amber Lager,"A well-attenuated malty lager with a caramel or toast quality and restrained bitterness.",Märzen,"Märzen is a rich, malty lager with a deep amber to copper color and a balanced flavor profile. It has a toasty malt character with light hop bitterness and a clean, dry finish.",18-24,5.8-6.3%,10-18,"Pilsner Malt, Munich Malt, Caramel Malt"
Amber Lager,"A well-attenuated malty lager with a caramel or toast quality and restrained bitterness.",Rauchbier,"Rauchbier is a distinctive smoky beer brewed with malt dried over an open flame. It has a strong smoky character balanced by a malt sweetness and mild hop bitterness.",20-30,4.5-6.0%,12-25,"Smoked Malt, Pilsner Malt, Munich Malt"
Amber Lager,"A well-attenuated malty lager with a caramel or toast quality and restrained bitterness.",Vienna Lager,"Vienna Lager is a medium-bodied lager with a rich, toasted malt flavor and a clean, dry finish. It has a slight sweetness balanced by a light hop bitterness.",18-30,4.5-5.5%,9-15,"Vienna Malt, Pilsner Malt, Munich Malt"
Amber Lager,"A well-attenuated malty lager with a caramel or toast quality and restrained bitterness.",Amber Kellerbier,"Amber Kellerbier is an unfiltered lager with a malty flavor profile and a slightly cloudy appearance. It typically features a rich caramel and toasty malt character with mild bitterness.",18-30,4.8-5.5%,12-20,"Pilsner Malt, Munich Malt, Caramel Malt"
Amber Lager,"A well-attenuated malty lager with a caramel or toast quality and restrained bitterness.",California Common,"California Common is a hybrid beer brewed with lager yeast at warmer ale temperatures. It has a malt-forward flavor with caramel and toasty notes, balanced by a moderate hop bitterness.",30-45,4.5-6.0%,10-20,"Pilsner Malt, Munich Malt, Caramel Malt"
Dark Lager,"A somewhat sweeter version of standard/premium lager with a little more body and flavor.",International Dark Lager,"International Dark Lager is a smooth, malty beer with subtle caramel and roasted flavors. It has a medium body, balanced sweetness, and restrained hop bitterness.",18-28,4.5-6.0%,14-22,"Pilsner Malt, Munich Malt, Caramel Malt"
Dark Lager,"A somewhat sweeter version of standard/premium lager with a little more body and flavor.",Czech Dark Lager,"Czech Dark Lager is a smooth and malty beer with rich caramel and toasted bread flavors. It has a slightly sweet profile and low hop bitterness, creating a well-balanced beer.",18-30,4.2-5.2%,14-22,"Pilsner Malt, Munich Malt, Caramel Malt"
Dark Lager,"A somewhat sweeter version of standard/premium lager with a little more body and flavor.",Munich Dunkel,"Munich Dunkel is a dark, malty lager with rich flavors of caramel, toasted bread, and light chocolate. It has a smooth, clean finish with moderate hop bitterness.",18-28,4.5-5.5%,14-22,"Munich Malt, Pilsner Malt, Caramel Malt"
Dark Lager,"A somewhat sweeter version of standard/premium lager with a little more body and flavor.",Schwarzbier,"Schwarzbier, or black lager, is a dark lager with roasted malt flavors, including coffee and chocolate. Despite its dark color, it is light-bodied and well-balanced, with a clean finish.",18-30,4.4-5.4%,30-40,"Munich Malt, Pilsner Malt, Caramel Malt, Roasted Malt"
Pilsner,"A light-bodied, highly-attenuated, gold-colored, bitter German beer.",Czech Premium Pale Lager,"Czech Premium Pale Lager is a pale, well-balanced beer with a crisp, refreshing character. It has a noticeable malt sweetness, balanced by a moderate hop bitterness and a slightly sweet finish.",30-45,4.2-5.0%,18-22,"Pilsner Malt, Saaz Hops"
Pilsner,"A light-bodied, highly-attenuated, gold-colored, bitter German beer.",German Pils,"German Pils is a crisp, highly-carbonated lager with a dry finish and a noticeable hop bitterness. It has a clean malt profile with a floral, herbal hop character.",35-45,4.5-5.2%,20-30,"Pilsner Malt, Hallertauer Hops"
Bock,"Amber-colored with a malty balance.",Helles Bock,"Helles Bock is a pale, malty lager with a clean, slightly sweet malt character. It is balanced by a mild hop bitterness and finishes with a smooth, rich maltiness.",20-30,6.3-7.4%,6-14,"Pilsner Malt, Munich Malt"
Bock,"Amber-colored with a malty balance.",Dunkles Bock,"Dunkles Bock is a darker bock with a rich malt profile, featuring toasted bread, caramel, and nutty flavors. It has a smooth mouthfeel and a moderate hop bitterness.",20-30,6.0-7.5%,14-22,"Munich Malt, Caramel Malt"
Bock,"Amber-colored with a malty balance.",Doppelbock,"Doppelbock is a stronger, maltier version of bock with rich, sweet flavors of bread, caramel, and toffee. It has a full-bodied mouthfeel and a warming finish.",16-26,7.0-12.0%,14-30,"Munich Malt, Caramel Malt"
Bock,"Amber-colored with a malty balance.",Eisbock,"Eisbock is a very strong and malty beer, with a deep malt sweetness and rich flavors of dark fruit, caramel, and toffee. It is typically higher in alcohol and very smooth.",25-35,9.0-12.0%,20-40,"Munich Malt, Dark Munich Malt"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",Altbier,"Altbier is a traditional German beer with a balanced profile, featuring malty sweetness with a slight hop bitterness and a crisp, clean finish.",25-40,4.3-5.2%,12-20,"Pilsner Malt, Munich Malt, Caramel Malt"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",Ordinary Bitter,"Ordinary Bitter is a British ale that showcases a delicate balance of malt sweetness and moderate hop bitterness. It has a clean, crisp finish with a malty backbone.",25-35,3.2-3.8%,8-14,"Pale Malt, Caramel Malt"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",Best Bitter,"Best Bitter is a British-style ale with a balanced malt character and a moderate hop bitterness. It has a dry finish with a light to medium body.",30-40,3.8-4.6%,10-20,"Pale Malt, Caramel Malt"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",Strong Bitter,"Strong Bitter, or ESB, is a British-style ale with a pronounced hop bitterness, balanced by a rich malt sweetness. It has a medium body and a well-rounded flavor.",35-50,4.6-6.0%,12-22,"Pale Malt, Caramel Malt"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",Scottish Light,"Scottish Light is a malty ale with low hop bitterness. It has a light body with flavors of bread, caramel, and toffee, often finishing with a mild sweetness.",10-20,3.0-3.8%,8-14,"Pale Malt, Caramel Malt"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",Scottish Heavy,"Scottish Heavy is a malt-forward ale with caramel and bread-like flavors. It has a medium body and a mild hop bitterness, offering a smooth and slightly sweet finish.",10-20,3.5-4.4%,12-18,"Pale Malt, Munich Malt, Caramel Malt"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",Scottish Export,"Scottish Export is a rich and malty ale with flavors of caramel, toffee, and toasted bread. It has a medium body and a subtle hop bitterness.",15-25,4.4-5.2%,14-22,"Pale Malt, Munich Malt, Caramel Malt"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",Irish Red Ale,"Irish Red Ale is a malty beer with a slightly sweet, caramel flavor. It has a smooth mouthfeel, moderate hop bitterness, and a clean, dry finish.",18-28,4.0-5.0%,10-18,"Pale Malt, Caramel Malt, Roasted Barley"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",American Amber Ale,"American Amber Ale is an amber-colored ale with a moderate to strong hop bitterness and a balanced malt backbone. It features flavors of caramel and toffee with a piney hop aroma.",25-40,4.5-6.0%,10-20,"Pale Malt, Caramel Malt, Crystal Malt"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",Bière de Garde,"Bière de Garde is a French-style strong pale ale with a malty, fruity character and a smooth, clean finish. It has a moderate hop bitterness and a slightly sweet flavor.",20-35,6.0-8.0%,12-18,"Pilsner Malt, Munich Malt, Caramel Malt"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",Belgian Dubbel,"Belgian Dubbel is a rich, malty beer with flavors of dark fruit, caramel, and brown sugar. It has a full body and a complex malt profile with low hop bitterness.",20-35,6.0-7.6%,15-30,"Pilsner Malt, Munich Malt, Caramel Malt"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",Kentucky Common,"Kentucky Common is a malty, slightly sweet beer with flavors of corn, caramel, and bread. It has a light body and a low hop bitterness, making it smooth and easy-drinking.",10-18,4.0-5.0%,10-18,"Pale Malt, Corn, Caramel Malt"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",Pumpkin Ale,"Pumpkin Ale is a seasonal beer that blends malt sweetness with pumpkin flavors and spices like cinnamon, nutmeg, and cloves. It has a smooth, medium body and can be either lightly spiced or intensely flavored.",10-25,5.0-7.0%,12-20,"Pale Malt, Pumpkin, Spices (Cinnamon, Nutmeg)"
Amber Ale,"Amber-colored, evenly balanced to bitter balanced beers.",Honey Ale,"Honey Ale is a smooth, malty beer that features a subtle honey sweetness. The honey flavor balances the malt and hop bitterness, giving the beer a clean, refreshing finish.",10-20,4.5-6.5%,8-15,"Pale Malt, Honey"
Porter,"Dark, well-hopped, and made from brown malt.",Baltic Porter,"Baltic Porter is a strong, dark lager with rich malt flavors including caramel, chocolate, and dark fruit. It is well-balanced with low hop bitterness and a smooth, clean finish.",20-40,7.0-9.0%,20-40,"Pilsner Malt, Munich Malt, Caramel Malt, Brown Malt"
Porter,"Dark, well-hopped, and made from brown malt.",English Porter,"English Porter is a malty, dark ale with flavors of toffee, caramel, and chocolate. It has a medium body with a moderate hop bitterness and a smooth, slightly sweet finish.",18-35,4.0-6.0%,20-40,"Pale Malt, Brown Malt, Caramel Malt"
Porter,"Dark, well-hopped, and made from brown malt.",American Porter,"American Porter is a dark beer with a pronounced malt character, often featuring roasted coffee and chocolate flavors. It has a medium to full body with a moderate hop bitterness.",25-45,4.5-6.5%,25-40,"Pale Malt, Chocolate Malt, Roasted Barley, Caramel Malt"
IPA,"Hoppy and bitter, moderately strong.",English IPA,"English IPA is a hop-forward beer with a balanced malt character. It has moderate bitterness and floral, earthy hop aromas, with a slightly malty finish.",35-55,5.5-7.5%,8-14,"Pale Malt, Caramel Malt, Crystal Malt"
IPA,"Hoppy and bitter, moderately strong.",American IPA,"American IPA is a hop-forward beer with bold citrus, pine, and floral hop aromas. It has a crisp malt backbone and a strong hop bitterness.",40-70,5.5-7.5%,8-14,"Pale Malt, Crystal Malt, Munich Malt"
IPA,"Hoppy and bitter, moderately strong.",Belgian IPA,"Belgian IPA combines the hoppy bitterness of an IPA with the fruity, spicy character of Belgian yeast. It has a complex malt backbone and a clean, crisp finish.",35-55,6.0-7.5%,10-18,"Pilsner Malt, Caramel Malt, Munich Malt"
IPA,"Hoppy and bitter, moderately strong.",Black IPA,"Black IPA, also known as Cascadian Dark Ale, combines the roasted malt flavors of a stout with the hoppy bitterness of an IPA. It has dark roasted malt flavors with citrus and pine hop aromas.",50-70,6.0-8.0%,40-60,"Pale Malt, Caramel Malt, Roasted Barley, Chocolate Malt"
IPA,"Hoppy and bitter, moderately strong.",Brown IPA,"Brown IPA is an IPA with a more pronounced malt character, featuring nutty, caramel, and toasty flavors, balanced with a bold hop bitterness.",35-55,5.5-7.5%,20-30,"Pale Malt, Brown Malt, Caramel Malt"
IPA,"Hoppy and bitter, moderately strong.",Red IPA,"Red IPA is a variation of IPA with a malt-forward character featuring toasty, caramel, and red fruit notes, balanced with a strong hop bitterness.",40-60,6.0-7.5%,10-20,"Pale Malt, Caramel Malt, Munich Malt"
IPA,"Hoppy and bitter, moderately strong.",Rye IPA,"Rye IPA incorporates rye malt, which adds a spicy, earthy character that complements the hop bitterness. It has a crisp, dry finish with a bold hop presence.",40-60,6.0-7.5%,10-20,"Pale Malt, Rye Malt, Caramel Malt"
IPA,"Hoppy and bitter, moderately strong.",White IPA,"White IPA is a hybrid style that combines the hoppiness of an IPA with the citrusy and spicy flavors of a witbier. It has a light, refreshing body with a slightly cloudy appearance.",35-55,5.0-6.5%,4-7,"Pilsner Malt, Wheat Malt, Oats, Caramel Malt"
IPA,"Hoppy and bitter, moderately strong.",Hazy IPA,"Hazy IPA is a juicy and aromatic beer style with a cloudy appearance. It features tropical fruit and citrus hop flavors, with a smooth mouthfeel and less bitterness than traditional IPAs.",30-60,6.0-7.5%,5-15,"Pale Malt, Oats, Wheat"
IPA,"Hoppy and bitter, moderately strong.",West Coast IPA,"West Coast IPA is a hop-forward beer known for its clear appearance, crisp bitterness, and bright, citrusy hop flavors. It has a dry finish with prominent notes of pine and resin.",40-70,6.0-7.5%,8-15,"Pale Malt, Crystal Malt, Amarillo, Centennial, Cascade hops"
IPA,"Hoppy and bitter, moderately strong.",West Coast Double IPA,"West Coast Double IPA is a stronger, hoppier version of the classic West Coast IPA. It features bold piney and citrus hop flavors with a clean, dry finish and higher alcohol content.",70-100,7.5-10.0%,10-20,"Pale Malt, Caramel Malt, Simcoe, Cascade, Centennial hops"
IPA,"Hoppy and bitter, moderately strong.",New England IPA (NEIPA),"New England IPA, also known as Hazy IPA, is a juicy, hazy, and often fruit-forward beer with low bitterness. It’s known for its smooth, creamy texture and vibrant citrus and tropical fruit flavors.",10-40,6.0-7.5%,5-10,"Pale Malt, Oats, Wheat, Citra, Mosaic, Amarillo hops"
IPA,"Hoppy and bitter, moderately strong.",Double IPA (DIPA),"Double IPA (DIPA) is a bold, hoppy, and higher-alcohol version of a regular IPA. It typically has a more intense hop profile with piney, citrusy, or tropical notes and a malty backbone.",60-100,7.5-10.0%,10-20,"Pale Malt, Crystal Malt, Simcoe, Columbus, Centennial hops"
IPA,"Hoppy and bitter, moderately strong.",Milkshake IPA,"Milkshake IPA is a juicy, hazy IPA with added lactose for sweetness and a smooth, creamy mouthfeel. It often features fruity flavors like pineapple, mango, or citrus, with minimal bitterness.",10-40,6.0-7.5%,5-10,"Pale Malt, Oats, Lactose, Citra, Mosaic hops"
IPA,"Hoppy and bitter, moderately strong.",Session IPA,"Session IPA is a lighter, lower-alcohol IPA with all the hop character of a traditional IPA but a more sessionable ABV. It is often crisp, refreshing, and easy to drink.",30-45,3.0-5.0%,5-10,"Pale Malt, Munich Malt, Cascade, Amarillo hops"
IPA,"Hoppy and bitter, moderately strong.",Double Dry Hopped IPA,"Double Dry Hopped IPA is an IPA where hops are added twice during the brewing process, which intensifies hop aroma and flavor, often with tropical fruit, citrus, and pine characteristics.",40-70,6.5-8.0%,8-20,"Pale Malt, Crystal Malt, Simcoe, Citra, Mosaic hops"
IPA,"Hoppy and bitter, moderately strong.",DDH New England IPA,"DDH New England IPA is a hazy, hop-forward IPA with a juicy profile, boosted by double dry hopping. It features vibrant fruit flavors and a soft mouthfeel.",30-50,6.0-7.5%,10-20,"Pale Malt, Oats, Citra, Mosaic hops"
IPA,"Hoppy and bitter, moderately strong.",Double Dry Hopped West Coast IPA,"Double Dry Hopped West Coast IPA is a clear IPA that has been double dry hopped for extra piney, resinous hop aromas and a strong bitterness with a dry finish.",40-70,6.5-7.5%,8-20,"Pale Malt, Crystal Malt, Cascade, Centennial hops"
IPA,"Hoppy and bitter, moderately strong.",Double Dry Hopped American IPA,"A bold IPA with a more pronounced hop character thanks to the double dry hopping, offering intense citrus and pine aromas with a balanced malt backbone.",40-70,6.0-7.5%,10-20,"Pale Malt, Crystal Malt, Cascade, Simcoe hops"
IPA,"Hoppy and bitter, moderately strong.",DDH Hazy IPA,"DDH Hazy IPA is a juicy and hazy IPA that is double dry hopped to enhance tropical fruit and citrus aromas, offering a smooth, creamy mouthfeel.",30-50,6.0-7.5%,8-20,"Pale Malt, Oats, Citra, Mosaic hops"
IPA,"Hoppy and bitter, moderately strong.",Triple Dry Hopped IPA,"Triple Dry Hopped IPA is an IPA with three additions of hops during the brewing process, intensifying the hop aroma and flavor, creating strong citrus, pine, and tropical fruit notes.",40-70,7.0-8.5%,10-20,"Pale Malt, Crystal Malt, Citra, Mosaic, Simcoe hops"
IPA,"Hoppy and bitter, moderately strong.",TDH New England IPA,"TDH New England IPA is a juicy, hazy IPA with triple dry hopping that enhances the tropical fruit and citrus flavors, creating a full-bodied, smooth mouthfeel.",30-50,7.0-8.0%,10-20,"Pale Malt, Oats, Citra, Mosaic, Amarillo hops"
IPA,"Hoppy and bitter, moderately strong.",Triple Dry Hopped West Coast IPA,"Triple Dry Hopped West Coast IPA offers a bold, piney, resinous hop profile with strong bitterness and a dry, clean finish, accentuated by triple dry hopping.",40-70,7.0-8.0%,10-20,"Pale Malt, Crystal Malt, Cascade, Centennial, Simcoe hops"
Brown Ale,"Light-flavored, malt-accented.",Dark Mild,"Dark Mild is a low-alcohol, malty beer with a light body and subtle caramel and toasty flavors. It has a mild hop bitterness and a smooth, easy-drinking profile.",10-25,2.8-4.0%,12-22,"Pale Malt, Caramel Malt, Munich Malt"
Brown Ale,"Light-flavored, malt-accented.",British Brown Ale,"British Brown Ale is a malty beer with nutty, caramel, and toasty flavors. It has a light to medium body with a balanced hop bitterness and a smooth finish.",20-30,4.0-5.0%,12-22,"Pale Malt, Caramel Malt, Chocolate Malt"
Brown Ale,"Light-flavored, malt-accented.",American Brown Ale,"American Brown Ale is a malt-forward beer with caramel, toasty, and nutty flavors. It often has a more pronounced hop bitterness and fruity flavors compared to British versions.",25-45,4.5-6.5%,18-35,"Pale Malt, Caramel Malt, Chocolate Malt"
Brown Ale,"Light-flavored, malt-accented.",London Brown Ale,"London Brown Ale is a traditional British brown ale with caramel and nutty flavors. It is medium-bodied, with a balanced malt sweetness and a mild hop bitterness.",18-30,4.2-5.0%,12-22,"Pale Malt, Caramel Malt, Brown Malt"
Stout,"A very dark, roasty, bitter, creamy ale.",Irish Stout,"Irish Stout is a dry, dark beer with roasted malt flavors, featuring coffee and chocolate notes. It has a smooth, creamy mouthfeel and a moderate hop bitterness.",30-40,4.0-4.5%,25-40,"Pale Malt, Roasted Barley, Flaked Barley"
Stout,"A very dark, roasty, bitter, creamy ale.",Irish Extra Stout,"Irish Extra Stout is a more robust version of Irish Stout, with stronger roasted malt flavors and higher alcohol content. It remains dry with a smooth, creamy finish.",40-60,5.5-6.5%,30-45,"Pale Malt, Roasted Barley, Flaked Barley"
Stout,"A very dark, roasty, bitter, creamy ale.",Sweet Stout,"Sweet Stout is a darker beer with a pronounced sweetness, often from lactose. It has rich chocolate and coffee flavors and a smooth, creamy mouthfeel.",20-40,4.0-6.0%,30-50,"Pale Malt, Roasted Barley, Lactose"
Stout,"A very dark, roasty, bitter, creamy ale.",Oatmeal Stout,"Oatmeal Stout features a smooth, creamy texture from oats, with a rich malt character that includes roasted, chocolate, and coffee notes. It is often sweeter than other stouts.",25-40,4.0-6.0%,25-40,"Pale Malt, Oats, Roasted Barley, Chocolate Malt"
